2011-09-07 19:51:14 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
2011-09-07 19:51:15 Debug: Notice (8): Undefined variable: schoolAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 92]
2011-09-07 19:52:19 Debug: Notice (8): Undefined property: Student::$MyAddresses in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 65]
2011-09-07 19:55:29 Debug: Notice (8): Undefined variable: debug in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 76]
2011-09-07 19:57:25 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-07 20:12:21 Debug: Notice (8): Undefined variable: schoolOption in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 6]
2011-09-08 13:47:20 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:06:56 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:08:31 Debug: Notice (8): Undefined property: StudentsController::$Session in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 98]
2011-09-08 14:10:16 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:18:10 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:24:57 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:54:06 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:54:59 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:58:29 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 14:59:21 Debug: Notice (8): Undefined index: StudentID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\edit.ctp, line 37]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 6]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index:  in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 6]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 11]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 16]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 21]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 26]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index:  in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 26]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 31]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 36]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 74]
2011-09-08 15:31:07 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 75]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 6]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index:  in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 6]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 11]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 16]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 21]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 26]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index:  in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 26]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 31]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 36]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 74]
2011-09-08 15:54:49 Debug: Notice (8): Undefined index: Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\students\view.ctp, line 75]
2011-09-08 15:55:29 Debug: Notice (8): Undefined index: SchoolID in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\schools\edit.ctp, line 41]
2011-09-08 17:15:55 Debug: Notice (8): Undefined property: TeachersController::$Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\teachers_controller.php, line 37]
2011-09-08 17:17:00 Debug: Notice (8): Undefined property: TeachersController::$Student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\teachers_controller.php, line 37]
2011-09-08 17:17:19 Debug: Notice (8): Undefined property: Teachersaddress::$MyTeacherProfileAddress in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\teachers_controller.php, line 39]
2011-09-08 17:23:23 Debug: Notice (8): Undefined variable: student in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\view.ctp, line 3]
2011-09-08 17:23:23 Debug: Notice (8): Undefined variable: schoolOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\view.ctp, line 11]
2011-09-08 17:23:23 Debug: Notice (8): Undefined variable: genderOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\view.ctp, line 31]
2011-09-08 17:24:47 Debug: Notice (8): Undefined variable: schoolOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\view.ctp, line 11]
2011-09-08 17:24:47 Debug: Notice (8): Undefined variable: genderOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\view.ctp, line 31]
2011-09-08 17:26:11 Debug: Notice (8): Undefined index: Date Of Birth in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\index.ctp, line 31]
2011-09-08 17:27:27 Debug: Notice (8): Undefined property: Student::$MyCurrentSchool in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\controllers\students_controller.php, line 9]
2011-09-08 18:58:26 Debug: Notice (8): Undefined variable: schoolOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\edit.ctp, line 11]
2011-09-08 18:58:26 Debug: Notice (8): Undefined variable: genderOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\edit.ctp, line 15]
2011-09-08 18:58:30 Debug: Notice (8): Undefined variable: schoolOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\edit.ctp, line 11]
2011-09-08 18:58:30 Debug: Notice (8): Undefined variable: genderOptions in [C:\Dev\Workspace\elimusys\src\elimu-ui\elimu-web\elimusms\views\teachers\edit.ctp, line 15]
